"nom_fr","nom_latin","code","zone","type","commerciale"
"Bouleau à papier (blanc)","Betula papyrifera","BOP","tempérée","Feuillus","TRUE"
"Bouleau gris (à feuilles de peuplier)","Betula populifolia","BOG","tempérée","Feuillus","TRUE"
"Bouleau jaune","Betula alleghaniensis","BOJ","tempérée","Feuillus","TRUE"
"Caryer à fruits doux (ovale)","Carya ovata","CAF","tempérée","Feuillus","TRUE"
"Caryer cordiforme","Carya cordiformis","CAC","tempérée","Feuillus","TRUE"
"Cerisier tardif","Prunus serotina","CET","tempérée","Feuillus","TRUE"
"Chêne à gros fruits","Quercus macrocarpa","CHG","tempérée","Feuillus","TRUE"
"Chêne bicolore","Quercus bicolor","CHE","tempérée","Feuillus","TRUE"
"Chêne blanc","Quercus alba","CHB","tempérée","Feuillus","TRUE"
"Chêne pédonculé*","Quercus robur","CHD","tempérée","Feuillus","TRUE"
"Chêne rouge","Quercus rubra var. borealis","CHR","tempérée","Feuillus","TRUE"
"Érable à sucre","Acer saccharum","ERS","tempérée","Feuillus","TRUE"
"Érable argenté","Acer saccharinum","ERA","tempérée","Feuillus","TRUE"
"Érable de Norvège*","Acer ptatnoides","ERB","tempérée","Feuillus","TRUE"
"Érable noir","Acer nigrum","ERN","tempérée","Feuillus","TRUE"
"Érable rouge","Acer rubrum","ERR","tempérée","Feuillus","TRUE"
"Frêne d'Amérique (blanc)","Fraxinus americana","FRA","tempérée","Feuillus","TRUE"
"Frêne de Pennsylvanie (rouge)","Fraxinus pennsylvanica","FRP","tempérée","Feuillus","TRUE"
"Frêne noir","Fraxinus nigra","FRN","tempérée","Feuillus","TRUE"
"Hêtre à grandes feuilles","Fagus grandifolia","HEG","tempérée","Feuillus","TRUE"
"Noyer cendré","Juglans cinerea","NOC","tempérée","Feuillus","TRUE"
"Noyer noir","Juglans nigra","NON","tempérée","Feuillus","TRUE"
"Orme d'Amérique","Ulmus americana","ORA","tempérée","Feuillus","TRUE"
"Orme de Thomas (liège)","Ulmus thomasii","ORT","tempérée","Feuillus","TRUE"
"Orme rouge","Ulmus rubra","ORR","tempérée","Feuillus","TRUE"
"Ostryer de Virginie","Ostrya virginiana","OSV","tempérée","Feuillus","TRUE"
"Peuplier deltoïde","Populus deltoides","PED","tempérée","Feuillus","TRUE"
"Peuplier à grandes dent","Populus grandidentata","PEG","tempérée","Feuillus","TRUE"
"Peuplier baumier","Populus balsamifera","PEB","tempérée","Feuillus","TRUE"
"Peuplier blanc*","Populus alba","PEL","tempérée","Feuillus","TRUE"
"Peuplier d'Italie (noir var. Lombardie)*","Populus nigra var. italica","PEE","tempérée","Feuillus","TRUE"
"Peuplier faux tremble","Populus tremuloides","PET","tempérée","Feuillus","TRUE"
"Peuplier hybride","Populus sp X P. sp.","PEH","tempérée","Feuillus","TRUE"
"Platane occidental**","Platanus occidentalis","PLO","tempérée","Feuillus","TRUE"
"Robinier faux-acacia*","Robinia pseudoacacia","ROP","tempérée","Feuillus","TRUE"
"Tilleul d'Amérique","Tilia americana","TIL","tempérée","Feuillus","TRUE"
"epinette blanche","picea glauca","EPB","boréale","Resineux","TRUE"
"epinette de norvege","picea abies","EPO","boréale","Resineux","TRUE"
"epinette noire","picea mariana","EPN","boréale","Resineux","TRUE"
"epinette rouge","picea rubens","EPR","boréale","Resineux","TRUE"
"melèze de sibérie*","larix sibirica","MEB","boréale","Resineux","TRUE"
"melèze du japon*","larix leptolepis","MEJ","boréale","Resineux","TRUE"
"melèze européen","larix decidua","MEU","boréale","Resineux","TRUE"
"melèze hybride","larix x marschlinsii","MEH","boréale","Resineux","TRUE"
"melèze laricin","larix laricina","MEL","boréale","Resineux","TRUE"
"pin blanc","pinus strobus","PIB","tempérée","Resineux","TRUE"
"pin gris","pinus banksiana","PIG","boréale","Resineux","TRUE"
"pin rigide","pinus rigida","PID","tempérée","Resineux","TRUE"
"pin rouge","pinus resinosa","PIR","tempérée","Resineux","TRUE"
"pin sylvestre","pinus sylvestris","PIS","tempérée","Resineux","TRUE"
"pruche de l'est","tsuga canadensis","PRU","tempérée","Resineux","TRUE"
"sapin baumier","abies balsamea","SAB","boréale","Resineux","TRUE"
"thuya occidental","thuya occidentalis","THO","tempérée","Resineux","TRUE"
"Amélanchier sp.","Amelanchier sp. Nombreuses espèces possibles","AME","tempérée","Feuillus","FALSE"
"Aubépine sp.","Crataegus sp. Nombreuses espèces possibles","CRA","tempérée","Feuillus","FALSE"
"Aulne crispé","Alnus crispa var. mollis (Alnus viridis subsp. crispa)","AUC","boréale","Feuillus","FALSE"
"Aulne rugueux","Alnus rugosa var. Americana (Alnus incana supsp, rugosa)","AUR","boréale","Feuillus","FALSE"
"Aulne tendre*","Alnus serrulata","AUT","boréale","Feuillus","FALSE"
"Cerisier de Pennsylvanie","Prunus pensylvanica","PRP","tempérée","Feuillus","FALSE"
"Cerisier de Virginie","Prunus virginiana","PRV","tempérée","Feuillus","FALSE"
"Chalef argenté***","Elaeagnus commutata","ELC","tempérée","Feuillus","FALSE"
"Charme de Caroline","Carpinus caroliniana","CAR","tempérée","Feuillus","FALSE"
"Cornouiller à feuilles alternes","Cornus alternifolia","COA","tempérée","Feuillus","FALSE"
"Érable à épis","Acer spicatum","ERE","boréale","Feuillus","FALSE"
"Érable négondo (à Giguère)*","Acer negundo","ERG","tempérée","Feuillus","FALSE"
"Érable de Pennsylvanie","Acer pensylvanicum","ERP","boréale","Feuillus","FALSE"
"Érable de Virginie","Acer platanoides","ERV","tempérée","Feuillus","FALSE"
"Genévrier de Virginie","Juniperus virginiana","JUV","tempérée","Feuillus","FALSE"
"Hamamélis de Virginie** (Noisetier des sorcières)","Hamamelis viriniana","HAV","tempérée","Feuillus","FALSE"
"Lilas commun*","Syringa vulgaris","SYV","tempérée","Feuillus","FALSE"
"Marronnier d'Inde*","Aesculus hippocastanum","AEH","tempérée","Feuillus","FALSE"
"Micocoulier occidental","Celtis occidentalis","CEO","tempérée","Feuillus","FALSE"
"Nerprun sp.","Rhamnus sp. Espèces possibles R. frangula (Frangula alnus) R. cathartica","RHS","tempérée","Feuillus","FALSE"
"Olivier de Bohême","Elaeagnus angustifolia","ELA","tempérée","Feuillus","FALSE"
"Orme de Sibérie*","Ulmus pumila","ORS","boréale","Feuillus","FALSE"
"Pommiers*","Malus sp.","MAS","tempérée","Feuillus","FALSE"
"Saules","Salix sp. Nombreuses espèces possibles","SAL","boréale","Feuillus","FALSE"
"Prunier noir**","Prunus nigra","PRN","tempérée","Feuillus","FALSE"
"Sorbier d'Amérique","Sorbus americana","SOA","tempérée","Feuillus","FALSE"
"Sorbier des montagnes","Sorbus decora","SOD","tempérée","Feuillus","FALSE"
"Sorbier des oiseleurs*","Sorbus aucuparia","SOU","tempérée","Feuillus","FALSE"
"Sumac à vernis**","Toxicodendron vernis","TOV","tempérée","Feuillus","FALSE"
"Sumac vinaigrier","Rhus typhina","RHT","tempérée","Feuillus","FALSE"
"Viorne flexible**","Viburnum lentago","VIB","tempérée","Feuillus","FALSE"
