"code","nom_fr","nom_latin","zone","type","commerciale"
"AEH","Marronnier d'Inde*","Aesculus hippocastanum","tempérée","Feuillus",FALSE
"AMC","Amélanchier arborescent",NA,NA,NA,NA
"AME","Amélanchier sp.","Amelanchier sp. Nombreuses espèces possibles","tempérée","Feuillus",FALSE
"AMF","Faux-indigo commun",NA,NA,NA,NA
"AMG","Amélanchier de Gaspésie",NA,NA,NA,NA
"AML","Amélanchier glabre",NA,NA,NA,NA
"AMP","Amélanchier en épis",NA,NA,NA,NA
"AMR","Amélanchier de Bartram",NA,NA,NA,NA
"ARM","Aronia noir",NA,NA,NA,NA
"ARO","Aronie",NA,NA,NA,NA
"ATA","Clématite verticillée",NA,NA,NA,NA
"AUC","Aulne crispé","Alnus crispa var. mollis (Alnus viridis subsp. crispa)","boréale","Feuillus",FALSE
"AUR","Aulne rugueux","Alnus rugosa var. Americana (Alnus incana supsp, rugosa)","boréale","Feuillus",FALSE
"AUT","Aulne tendre*","Alnus serrulata","boréale","Feuillus",FALSE
"BEG","Bouleau glanduleux",NA,NA,NA,NA
"BEM","Bouleau mineur",NA,NA,NA,NA
"BEP","Bouleau nain",NA,NA,NA,NA
"BET","Épine-vinette du Japon",NA,NA,NA,NA
"BOG","Bouleau gris (à feuilles de peuplier)","Betula populifolia","tempérée","Feuillus",TRUE
"BOJ","Bouleau jaune","Betula alleghaniensis","tempérée","Feuillus",TRUE
"BOP","Bouleau à papier (blanc)","Betula papyrifera","tempérée","Feuillus",TRUE
"CAC","Caryer cordiforme","Carya cordiformis","tempérée","Feuillus",TRUE
"CAF","Caryer à fruits doux (ovale)","Carya ovata","tempérée","Feuillus",TRUE
"CAR","Charme de Caroline","Carpinus caroliniana","tempérée","Feuillus",FALSE
"CEO","Micocoulier occidental","Celtis occidentalis","tempérée","Feuillus",FALSE
"CEP","Céphalanthe occidental",NA,NA,NA,NA
"CES","Bourreau-des-arbres",NA,NA,NA,NA
"CET","Cerisier tardif","Prunus serotina","tempérée","Feuillus",TRUE
"CHB","Chêne blanc","Quercus alba","tempérée","Feuillus",TRUE
"CHD","Chêne pédonculé*","Quercus robur","tempérée","Feuillus",TRUE
"CHE","Chêne bicolore","Quercus bicolor","tempérée","Feuillus",TRUE
"CHG","Chêne à gros fruits","Quercus macrocarpa","tempérée","Feuillus",TRUE
"CHR","Chêne rouge","Quercus rubra var. borealis","tempérée","Feuillus",TRUE
"CLV","Clématite de Virginie",NA,NA,NA,NA
"COA","Cornouiller à feuilles alternes","Cornus alternifolia","tempérée","Feuillus",FALSE
"COC","Noisetier à long bec",NA,NA,NA,NA
"COP","Comptonie voyageuse",NA,NA,NA,NA
"COR","Cornouiller stolonifère",NA,NA,NA,NA
"COU","Cornus rugosa",NA,NA,NA,NA
"CRA","Aubépine sp.","Crataegus sp. Nombreuses espèces possibles","tempérée","Feuillus",FALSE
"DIE","Dièreville chèvrefeuille",NA,NA,NA,NA
"DIR","Dirca des marais",NA,NA,NA,NA
"ELA","Olivier de Bohême","Elaeagnus angustifolia","tempérée","Feuillus",FALSE
"ELC","Chalef argenté***","Elaeagnus commutata","tempérée","Feuillus",FALSE
"EPB","epinette blanche","picea glauca","boréale","Resineux",TRUE
"EPN","epinette noire","picea mariana","boréale","Resineux",TRUE
"EPO","epinette de norvege","picea abies","boréale","Resineux",TRUE
"EPR","epinette rouge","picea rubens","boréale","Resineux",TRUE
"ERA","Érable argenté","Acer saccharinum","tempérée","Feuillus",TRUE
"ERB","Érable de Norvège*","Acer ptatnoides","tempérée","Feuillus",TRUE
"ERE","Érable à épis","Acer spicatum","boréale","Feuillus",FALSE
"ERG","Érable négondo (à Giguère)*","Acer negundo","tempérée","Feuillus",FALSE
"ERN","Érable noir","Acer nigrum","tempérée","Feuillus",TRUE
"ERP","Érable de Pennsylvanie","Acer pensylvanicum","boréale","Feuillus",FALSE
"ERR","Érable rouge","Acer rubrum","tempérée","Feuillus",TRUE
"ERS","Érable à sucre","Acer saccharum","tempérée","Feuillus",TRUE
